ciudad,codigo,indicador,indicator_code
El Salvador,SLV,Deuda a corto plazo (% de las exportaciones de bienes," servicios e ingresos primario),DT.DOD.DSTC.XP.ZS,,,,,,,,,,,,,,,,,,19.1761363636364,34.2851187994998,20.5063141744364,17.3124744247537,21.8511647083076,23.7496538993363,10.137803091831,11.7443791394199,8.84886085183317,12.0783258509473,22.6235211958008,25.366735672296,22.5406637527018,21.257465939414,11.5196508581011,10.5731359317655,9.49449849295728,14.1082879061838,32.5816088208797,35.3708874436147,36.4409747386714,36.729540655554,45.1327103604955,62.0707871104068,73.2475513731515,43.4393193013883,56.5999777642751,59.8040992743793,52.7837285282485,32.1882014546562,27.7423088154459,30.9150130286631,20.1091822496581,16.6249872547795,20.5823012549632,24.6623898756842,28.0264987694247,29.973331896811,28.6648098545234,36.1632923298461,27.6567202184539,26.5807603356576,26.8953119131466,29.7568124976792,26.4383405712486,22.6454342248763,,"
El Salvador,SLV,Exportaciones de productos de alta tecnología (US$ a precios actuales),"TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188505755,200722855,177794297,235605824,238654078,225446747,227691500,226164854,208807068,223937538,251239528,277843373,230311118,228122461,348626313,414452908,296585304,"
El Salvador,SLV,Exportaciones de mercadería hacia economías en el mundo árabe (% del total de exportaciones de mercadería),"TX.VAL.MRCH.AL.ZS,,,,,,,,0.0483558994197292,1.13960113960114,0.13558143577264,,,0.000662872824534249,0.473075380020505,,0.310359110381668,,0.00215611283657178,,,,,,,,,,,,,0.0369067267559483,,,1.08894472297436,,0.00524420514798262,,0.19754688160635,0.0214260079512398,0.218162842796972,0.298868585160806,0.00821359813108754,0.0285359234209718,0.00367631513094053,0.00629735024983846,0.0138307783239969,0.0303979768341851,0.0220605005954417,0.0346001711595554,0.0967767322061171,0.0653729085676491,0.0265533978705571,0.0497301288464404,0.135722133758234,0.099320944203319,0.072666213050498,0.0773391392923456,0.074370547878775,0.0301683169168544,0.0528380577714848,0.111223212938953,,,,"
El Salvador,SLV,Exportaciones de productos de TIC (% de las exportaciones de productos),"TX.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.05,0.07,0.08,0.08,0.14,0.16,0.28,0.19,0.22,0.32,0.31,0.37,0.48,0.47,0.28,0.3,0.23,0.24,0.24,0.3,0.37,0.4,,"
El Salvador,SLV,Índice de valor unitario de las exportaciones (2015 = 100),"TX.UVI.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,54.4,49.5,48.1,39,41.1,39.7,66.9,48.1,48.1,49.5,44.6,41.1,42.5,44.6,57.9,76,73.9,75.3,76,70.4,69.7,66.4,65.9,67.2,68.7,71.3,74.6,77.2,85.1,84,87.2,96.5,99.8,100.4,99.8,100,98.4,100.2,103.4,102.8,102.1,109.7,125,124.2,"
El Salvador,SLV,Exportaciones de bienes y servicios (UMN a precios constantes),"NE.EXP.GNFS.KN,,,,,,1333622442.5,1324247340.4,1533063229.1,1697150945.7,1628407861,1491544744.4,1606078350,1894213250,1818773488.3,1919683122.7,2097925721.8,1919244353.1,1705833318.3,2034516671.3,2700797069.1,2230286009.4,1794943209.9,1518377084.4,1832582269.4,1737029836.2,1647042581,1433100459.5,1607856419.9,1460533036.3,1262108264.6,1563684609.8,1531198000,1629647900,2094391700,2280256700,2551601400,2789851600,3590416100,3697311400,3925605300,4528351900,4455632300,4698144400,4875285800,4996376700,4947671800,5254814700,5354970000,5488510400,4981056900,5648758900,6056057100,6089442200,6470032400,6677020000,6896026256,6910047998,7144411400,7255249932,7872874282,5977936006,7760032644,8469132168,8906476978,"
El Salvador,SLV,Exportaciones de bienes y servicios (US$ a precios actuales),"NE.EXP.GNFS.CD,,,,,,231600000,229240000,250280000,255960000,243320000,281360000,292160000,367680000,432120000,540040000,622640000,827560000,1122680000,946719900,1280560000,1220920000,917000000,774247000,858652600,796567700,848385400,930400000,751724100,662448600,578784600,891100175.4,904756600,937870800,1294122000,1529942400,1923081200,2026644400,2659875600,2667080400,2752938000,3161574400,3071774700,3231026200,3433269900,3555578400,3713680000,4150320000,4349400000,4809800000,4215800000,4971100000,5878600000,6110250000,6536790000,6677020000,6911040000,6884540000,7251400000,7528970000,8052490000,6112370000,8359050000,10129310000,10587770000,"
El Salvador,SLV,Impuestos a las exportaciones (UMN a precios actuales),"GC.TAX.EXPT.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
El Salvador,SLV,Servicio de la deuda pública y con garantía pública (% de exportaciones de bienes," servicios e ingresos primarios),DT.TDS.DPPG.XP.ZS,,,,,,,,,,,,,,,,,4.46076694010938,6.62037674005682,3.714465475198,2.87182341703057,3.70282097327583,5.45872827252113,8.46293355918142,17.4343415194878,21.8061539340208,22.0447302177935,18.6082351677541,21.1270237729577,17.9682155750815,15.1027105544737,18.5599199970191,25.6401158715436,22.7346108826424,25.0453544817523,24.9746915277959,16.3008902351722,16.7246909431834,10.6999002562067,16.2201281202632,10.8707390286768,9.94841408195608,11.8655813942769,14.193123540827,17.4439886759121,19.3190299138464,15.0105262409613,20.4809150002372,15.3645549462347,14.4305658348366,21.7583896850982,16.6223921288022,16.9281767802136,13.9424550950487,12.6553254624641,12.9944703291785,12.7810376165669,13.8436726064916,13.2894326297535,13.160832343429,22.4390075059543,16.6232678530736,12.9841461104863,17.3873564601713,,"
El Salvador,SLV,Servicios de viaje (% de las exportaciones de servicios," balanza de pagos),BX.GSR.TRVL.ZS,,,,,,,,,,,,,,,,,25.7320013778849,28.1515580736544,30.3571428571429,18.7368421052632,9.62258715067704,11.3249919794674,17.0357751277683,17.8739693757362,17.9201934703748,19.3461950696677,17.4916645293665,13.5349217325706,16.9268292682927,16.5460657512392,23.0895462811017,22.7883650952859,19.4735172851253,19.3484419263456,17.2365988909427,18.4873949579832,13.7711478988539,19.2494481236203,21.8894009216589,21.3544668587896,18.4752981260647,16.5133847922483,19.1655598093601,26.1198116908567,21.710402389671,24.4176369897769,25.165405647869,30.9920543084163,27.6682418119602,24.7110485205882,26.0333843216264,25.3603710492611,29.8706230256839,29.0009983646241,35.3178307033023,32.9775982038374,32.5358138090251,34.1298358812976,35.8237343052958,39.4558645525937,28.9575876646626,31.9942207062432,43.1247813670961,53.9251468178456,"
